name,year,month,fpar
Sundarbans,2018,1,1.298570188551864
Sundarbans,2018,2,1.2468466187651706
Sundarbans,2018,3,1.1904718217035575
Sundarbans,2018,4,1.138012034313331
Sundarbans,2018,5,1.0707540065261771
Sundarbans,2018,6,1.0332632090787803
Sundarbans,2018,7,1.0364331468711323
Sundarbans,2018,8,1.1267881885840125
Sundarbans,2018,9,1.189552329973799
Sundarbans,2018,10,1.2302135742339253
Sundarbans,2018,11,1.284136045072415
Sundarbans,2018,12,1.2703920126665704
Sundarbans,2019,1,1.268513084502741
Sundarbans,2019,2,1.2291442831653572
Sundarbans,2019,3,1.188704409188086
Sundarbans,2019,4,1.1637107585475246
Sundarbans,2019,5,1.0568830673032104
Sundarbans,2019,6,1.1025399045184938
Sundarbans,2019,7,1.062200615646751
Sundarbans,2019,8,1.026005208082172
Sundarbans,2019,9,1.1457612399736385
Sundarbans,2019,10,1.286057771133723
Sundarbans,2019,11,1.2852329170082464
Sundarbans,2019,12,1.284002306666024
Everglades,2014,1,0.6943473237954761
Everglades,2014,2,0.6697561167442005
Everglades,2014,3,0.6761098461014781
Everglades,2014,4,0.6305249087989658
Everglades,2014,5,0.5786079378423267
Everglades,2014,6,0.5490103484378067
Everglades,2014,7,0.6145494832227921
Everglades,2014,8,0.6416503476126133
Everglades,2014,9,0.6095294593953405
Everglades,2014,10,0.6523828827434927
Everglades,2014,11,0.668463116445068
Everglades,2014,12,0.6766926258677423
Everglades,2015,1,0.7006722874354033
Everglades,2015,2,0.6732581719908821
Everglades,2015,3,0.6486242611942611
Everglades,2015,4,0.5469997868251045
Everglades,2015,5,0.6053138699495604
Everglades,2015,6,0.5434234427058084
Everglades,2015,7,0.5555835404911965
Everglades,2015,8,0.5986774345776562
Everglades,2015,9,0.5800982495590378
Everglades,2015,10,0.6238137504684685
Everglades,2015,11,0.6827532698278447
Everglades,2015,12,0.5787537907310183
Everglades,2016,1,0.6080816064447587
Everglades,2016,2,0.637599272454709
Everglades,2016,3,0.571551272860429
Everglades,2016,4,0.6296366313552768
Everglades,2016,5,0.5964882186486776
Everglades,2016,6,0.606514874106471
Everglades,2016,7,0.5673967992820823
Everglades,2016,8,0.5957549356865094
Everglades,2016,9,0.6547040264268108
Everglades,2016,10,0.6824703317276455
Everglades,2016,11,0.7215562283171914
Everglades,2016,12,0.7201897686364717
Everglades,2017,1,0.7226809880656445
Everglades,2017,2,0.70375313315523
Everglades,2017,3,0.6796467012903963
Everglades,2017,4,0.54851623395601
Everglades,2017,5,0.6418677989004303
Everglades,2017,6,0.5239359907990967
Everglades,2017,7,0.5933662722931088
Everglades,2017,8,0.6229493950302744
Everglades,2017,9,0.5782329262380478
Everglades,2017,10,0.594851258935295
Everglades,2017,11,0.6613950921637601
Everglades,2017,12,0.6943949271251304
Everglades,2018,1,0.6676617120694812
Everglades,2018,2,0.5921236732441438
Everglades,2018,3,0.5997958936326034
Everglades,2018,4,0.6230715751905688
Everglades,2018,5,0.3617115408419033
Everglades,2018,6,0.5225629080837985
Everglades,2018,7,0.5398444510918341
Everglades,2018,8,0.6257059140561341
Everglades,2018,9,0.640524139478272
Everglades,2018,10,0.6558032223792385
Everglades,2018,11,0.7091647498117534
Everglades,2018,12,0.733931490917718
Everglades,2019,1,0.7365451096991142
Everglades,2019,2,0.6994262071028503
Everglades,2019,3,0.6371200630241266
Everglades,2019,4,0.6651673938681278
Everglades,2019,5,0.6235193327281923
Everglades,2019,6,0.5904734674616033
Everglades,2019,7,0.5627174512878171
Everglades,2019,8,0.5213914174755282
Everglades,2019,9,0.6372261777053444
Everglades,2019,10,0.6576186301106103
Everglades,2019,11,0.7151192790906374
Everglades,2019,12,0.6883383962371198
Cairns,2014,1,0.6566621961863072
Cairns,2014,2,0.3988643342487535
Cairns,2014,3,0.6018971020320503
Cairns,2014,4,0.6662903390406208
Cairns,2014,5,0.787481253684148
Cairns,2014,6,0.6929641341052721
Cairns,2014,7,0.8328800898360926
Cairns,2014,8,0.8454356776319096
Cairns,2014,9,0.8119628683576814
Cairns,2014,10,0.7951439311896347
Cairns,2014,11,0.7543626138373171
Cairns,2014,12,0.7438328276435618
Cairns,2015,1,0.7029155376228623
Cairns,2015,2,0.7193802634765565
Cairns,2015,3,0.787788243169761
Cairns,2015,4,0.7954753103061707
Cairns,2015,5,0.8142041326430364
Cairns,2015,6,0.6684200202885174
Cairns,2015,7,0.8207923031579719
Cairns,2015,8,0.8216769327782933
Cairns,2015,9,0.8170557660057668
Cairns,2015,10,0.7900165872337712
Cairns,2015,11,0.795217107698213
Cairns,2015,12,0.5728634226363192
Cairns,2016,1,0.7674092157391375
Cairns,2016,2,0.8375743341116687
Cairns,2016,3,0.7498319800039298
Cairns,2016,4,0.7043617227875693
Cairns,2016,5,0.7606537563458737
Cairns,2016,6,0.7548666509780985
Cairns,2016,7,0.7631268534977129
Cairns,2016,8,0.7666238467759994
Cairns,2016,9,0.7493057580091663
Cairns,2016,10,0.8219818545715424
Cairns,2016,11,0.804434518505656
Cairns,2016,12,0.7354543782529029
Cairns,2017,1,0.7058644439164151
Cairns,2017,2,0.5915752731410192
Cairns,2017,3,0.7352069862869729
Cairns,2017,4,0.7302611613500691
Cairns,2017,5,0.8515385915930601
Cairns,2017,6,0.7530813871131359
Cairns,2017,7,0.8241520633513522
Cairns,2017,8,0.815998227039476
Cairns,2017,9,0.7599095927217231
Cairns,2017,10,0.708554793466854
Cairns,2017,11,0.7463863363233005
Cairns,2017,12,0.816629809955082
Cairns,2018,1,0.7271864761495686
Cairns,2018,2,0.7100872314855856
Cairns,2018,3,0.6881824984121037
Cairns,2018,4,0.83440608107182
Cairns,2018,5,0.8109590436979935
Cairns,2018,6,0.7745415434809432
Cairns,2018,7,0.8382798970037882
Cairns,2018,8,0.8381423554785853
Cairns,2018,9,0.7592971216808398
Cairns,2018,10,0.7754977464818765
Cairns,2018,11,0.7534071914568894
Cairns,2018,12,0.7372893581243174
Cairns,2019,1,0.5760015627641736
Cairns,2019,2,0.6762997331420242
Cairns,2019,3,0.6180543471803988
Cairns,2019,4,0.7922542949359423
Cairns,2019,5,0.7474975553250505
Cairns,2019,6,0.7989066591117835
Cairns,2019,7,0.8389904634829535
Cairns,2019,8,0.8499155102059472
Cairns,2019,9,0.7647487925133541
Cairns,2019,10,0.7590359907940101
Cairns,2019,11,0.7812724418875633
Cairns,2019,12,0.7814800907499897
Can Gio,2014,1,0.7519491798293472
Can Gio,2014,2,0.8171351418230388
Can Gio,2014,3,0.8053430197544553
Can Gio,2014,4,0.6571725031652045
Can Gio,2014,5,0.7250358955094834
Can Gio,2014,6,0.5768376026331319
Can Gio,2014,7,0.6859358472115384
Can Gio,2014,8,0.7444419649511953
Can Gio,2014,9,0.6236912151405113
Can Gio,2014,10,0.7891295239571713
Can Gio,2014,11,0.7957809956531849
Can Gio,2014,12,0.8148149920397831
Can Gio,2015,1,0.749953148012331
Can Gio,2015,2,0.7987497689450175
Can Gio,2015,3,0.782120965481876
Can Gio,2015,4,0.7376199051134202
Can Gio,2015,5,0.7191629250666329
Can Gio,2015,6,0.7399550262657338
Can Gio,2015,7,0.6417405595406327
Can Gio,2015,8,0.7209632011400698
Can Gio,2015,9,0.7484523042889767
Can Gio,2015,10,0.7382930949839698
Can Gio,2015,11,0.8140512882433261
Can Gio,2015,12,0.8488930975678105
Can Gio,2016,1,0.8509016212606357
Can Gio,2016,2,0.8079126343845588
Can Gio,2016,3,0.8199878211664248
Can Gio,2016,4,0.7741746417902434
Can Gio,2016,5,0.48654095288068405
Can Gio,2016,6,0.6726166007787299
Can Gio,2016,7,0.6635693224573513
Can Gio,2016,8,0.5206468048822663
Can Gio,2016,9,0.4914485656702979
Can Gio,2016,10,0.5982551025884119
Can Gio,2016,11,0.8142100900965363
Can Gio,2016,12,0.5758151619769957
Can Gio,2017,1,0.722505470785706
Can Gio,2017,2,0.8118111580177566
Can Gio,2017,3,0.8193675950604916
Can Gio,2017,4,0.7460692032031667
Can Gio,2017,5,0.6264978176484269
Can Gio,2017,6,0.5863469312917016
Can Gio,2017,7,0.6540818769416074
Can Gio,2017,8,0.6540504534640358
Can Gio,2017,9,0.6185795783172041
Can Gio,2017,10,0.5254371560262113
Can Gio,2017,11,0.6636867729221446
Can Gio,2017,12,0.8114082428492206
Can Gio,2018,1,0.727228622196781
Can Gio,2018,2,0.8195646327865523
Can Gio,2018,3,0.7832456964146228
Can Gio,2018,4,0.7720391869249704
Can Gio,2018,5,0.6949943652397906
Can Gio,2018,6,0.7420054678043512
Can Gio,2018,7,0.5074959304509596
Can Gio,2018,8,0.4464386079459061
Can Gio,2018,9,0.6571314598500974
Can Gio,2018,10,0.7744850504942093
Can Gio,2018,11,0.8189893506013393
Can Gio,2018,12,0.7289383098104455
Can Gio,2019,1,0.8470030081867996
Can Gio,2019,2,0.8258718077145527
Can Gio,2019,3,0.7689216887585042
Can Gio,2019,4,0.785462398161895
Can Gio,2019,5,0.7374374511803178
Can Gio,2019,6,0.6430636399954683
Can Gio,2019,7,0.6961424699926657
Can Gio,2019,8,0.621426935942615
Can Gio,2019,9,0.5969334084634697
Can Gio,2019,10,0.8206891500555525
Can Gio,2019,11,0.7648573869023124
Can Gio,2019,12,0.8441720778252807
