year,month,location,npp,carbon
2014,1,Sundarbans,42.679305033258,13211890885.978867
2014,2,Sundarbans,47.87093333741547,14818912135.637905
2014,3,Sundarbans,38.49080851586652,11915141710.15494
2014,4,Sundarbans,16.831055265753662,5210248861.719064
2014,5,Sundarbans,20.735678515306102,6418849052.795621
2014,6,Sundarbans,10.028141137696004,3104196479.462087
2014,7,Sundarbans,17.130603111883833,5302997562.24428
2014,8,Sundarbans,17.19429341263316,5322725247.324452
2014,9,Sundarbans,30.918716019907986,9571293906.766527
2014,10,Sundarbans,42.372745373783154,13116963956.081278
2014,11,Sundarbans,42.78521010899019,13244641603.195318
2014,12,Sundarbans,39.993484714651444,12380399391.003576
2015,1,Sundarbans,37.77170631825801,11692641263.978533
2015,2,Sundarbans,43.718212497082995,13533398697.787928
2015,3,Sundarbans,39.886918959583184,12347372440.765709
2015,4,Sundarbans,30.20584433561472,9350337281.965023
2015,5,Sundarbans,18.12940337008783,5612073359.895092
2015,6,Sundarbans,18.217535434364127,5639222927.461913
2015,7,Sundarbans,12.839454919540579,3974610688.544999
2015,8,Sundarbans,22.363380296643612,6922864170.558412
2015,9,Sundarbans,25.953648256928478,8034221701.096275
2015,10,Sundarbans,37.938832673819704,11744379368.966558
2015,11,Sundarbans,47.05478047033355,14566316805.932514
2015,12,Sundarbans,33.046441682369014,10229983965.34795
2016,1,Sundarbans,37.57136059847321,11630765974.56668
2016,2,Sundarbans,43.315078744387094,13408624433.813583
2016,3,Sundarbans,29.840785596536513,9237455763.820602
2016,4,Sundarbans,20.711137669596237,6411375042.712362
2016,5,Sundarbans,28.99741153095993,8976520012.200562
2016,6,Sundarbans,24.824769248209098,7685058493.111518
2016,7,Sundarbans,14.09099960154064,4361964269.338779
2016,8,Sundarbans,27.137788480313333,8400869460.352771
2016,9,Sundarbans,32.10101038921022,9937259241.779448
2016,10,Sundarbans,42.00501143095124,13003250172.036556
2016,11,Sundarbans,57.865912392318386,17913003045.11692
2016,12,Sundarbans,48.18086180619517,14914860257.761656
2017,1,Sundarbans,49.825128397887255,15423945457.164358
2017,2,Sundarbans,41.76550699468435,12928951708.599405
2017,3,Sundarbans,40.28005274668389,12468992949.099697
2017,4,Sundarbans,28.787462576125876,8911386139.295387
2017,5,Sundarbans,24.230860977427334,7500752895.434515
