name,year,month,par
Cairns,2019,5,174.9101560583755
Cairns,2019,6,154.984601155967
Cairns,2019,7,189.32586446701438
Cairns,2019,8,220.11417120008852
Cairns,2019,9,262.22022457713996
Cairns,2019,10,262.4361776483643
Cairns,2019,11,289.7883775359617
Cairns,2019,12,270.12832211135174
Can Gio,2015,1,233.00183707153806
Can Gio,2015,2,262.69173583925726
Can Gio,2015,3,316.6447021136517
Can Gio,2015,4,303.25016336333533
Can Gio,2015,5,297.54611329596725
Can Gio,2015,6,254.7857507185706
Can Gio,2015,7,252.06774821338462
Can Gio,2015,8,280.3611288164732
Can Gio,2015,9,237.80548204531098
Can Gio,2015,10,246.36893418915446
Can Gio,2015,11,238.29703826219665
Can Gio,2015,12,224.81581053056706
Can Gio,2016,1,264.11014987859846
Can Gio,2016,2,257.63365007433015
Can Gio,2016,3,327.1882329228951
Can Gio,2016,4,328.25514540606076
Can Gio,2016,5,287.0498603136105
Can Gio,2016,6,250.85173478864533
Can Gio,2016,7,272.7133320027113
Can Gio,2016,8,237.92221704024206
Can Gio,2016,9,239.40213239263275
Can Gio,2016,10,185.05605090267613
Can Gio,2016,11,205.73290838277103
Can Gio,2016,12,148.21713749291294
Can Gio,2017,1,206.41004064072294
Can Gio,2017,2,230.921938379427
Can Gio,2017,3,312.87566123900893
Can Gio,2017,4,299.349340425631
Can Gio,2017,5,260.79952858364936
Can Gio,2017,6,253.9965707238402
Can Gio,2017,7,229.19102185887155
Can Gio,2017,8,251.48809061473003
Can Gio,2017,9,242.04861264630986
Can Gio,2017,10,201.7240587216516
Can Gio,2017,11,176.5201170052504
Can Gio,2017,12,205.11491793638348
Can Gio,2018,1,199.47587912275432
Can Gio,2018,2,240.83422224410054
Can Gio,2018,3,306.6914889029759
Can Gio,2018,4,318.0621131118416
Can Gio,2018,5,280.81104008887417
Can Gio,2018,6,241.7091074624037
Can Gio,2018,7,208.97370460273814
Can Gio,2018,8,238.95863973452177
Can Gio,2018,9,234.57389611648438
Can Gio,2018,10,241.640036733269
Can Gio,2018,11,211.28352727719346
Can Gio,2018,12,191.78624293453248
Can Gio,2019,1,239.2571044810948
Can Gio,2019,2,265.6445324676138
Can Gio,2019,3,310.6076651370398
Can Gio,2019,4,313.37167872902563
Can Gio,2019,5,283.0517910754707
Can Gio,2019,6,247.11436944174875
Can Gio,2019,7,247.4515445767773
Can Gio,2019,8,233.58345773924756
Can Gio,2019,9,201.95598169257045
Can Gio,2019,10,257.4875863836264
Can Gio,2019,11,209.52208108438032
Can Gio,2019,12,229.1968856928725
