name,year,month,lue,t_opt,t1,t2,t,W
Sundarbans,2014,1,2.420743321998073,19.07700229889386,0.9995704500746043,0.9912235531162353,19.07700229889386,0.9772905468273495
Sundarbans,2014,2,2.6466179911583856,19.07700229889386,0.9995704500746043,0.9737413580951815,22.375109800974865,1.0876623791154354
Sundarbans,2014,3,1.6191569379046018,19.07700229889386,0.9995704500746043,0.7148732923933752,27.438180003595086,0.9063656907522984
Sundarbans,2014,4,0.737977569538688,19.07700229889386,0.9995704500746043,0.4281728020377915,30.89364578680302,0.6896736663201563
Sundarbans,2014,5,1.2861399257910922,19.07700229889386,0.9995704500746043,0.4553310209869095,30.559076222580426,1.1303593645504648
Sundarbans,2014,6,1.9561213681377627,19.07700229889386,0.9995704500746043,0.5218558702921268,29.76243994828414,1.5
Sundarbans,2014,7,2.1923520666624077,19.07700229889386,0.9995704500746043,0.5848777775307435,29.020355570431384,1.5
Sundarbans,2014,8,2.2570484761250804,19.07700229889386,0.9995704500746043,0.6021375289305667,28.816513900600484,1.5
Sundarbans,2014,9,2.2396004301656998,19.07700229889386,0.9995704500746043,0.5974827729935105,28.871593054361444,1.5
Sundarbans,2014,10,2.3204098595267286,19.07700229889386,0.9995704500746043,0.6963311790346147,27.673536033938156,1.3334704545479907
Sundarbans,2014,11,2.4475873353093145,19.07700229889386,0.9995704500746043,0.8986019158580143,24.558289709213213,1.0899733949729014
Sundarbans,2014,12,2.5236160428120127,19.07700229889386,0.9995704500746043,0.9962533942747441,19.900939118636188,1.013678043466869
Sundarbans,2015,1,2.4152022218466476,19.512313055063835,0.9998795203387181,0.9912235531162353,19.512313055063835,0.9747521251182039
Sundarbans,2015,2,2.501891878998378,19.512313055063835,0.9998795203387181,0.963086594712376,23.25023011737277,1.0392375020177897
Sundarbans,2015,3,1.808388698038388,19.512313055063835,0.9998795203387181,0.76349231650732,27.227457236978715,0.9475418000885086
Sundarbans,2015,4,2.0140651854650393,19.512313055063835,0.9998795203387181,0.6573599501299614,28.59068107919607,1.225768015197401
Sundarbans,2015,5,1.1776770174002338,19.512313055063835,0.9998795203387181,0.4836030514900694,30.65247144919991,0.9742440987496884
Sundarbans,2015,6,2.1896564500834694,19.512313055063835,0.9998795203387181,0.5839785936893623,29.466307842795548,1.5
Sundarbans,2015,7,2.528497858479674,19.512313055063835,0.9998795203387181,0.6743471849238891,28.38267574885098,1.5
Sundarbans,2015,8,2.228625344995125,19.512313055063835,0.9998795203387181,0.5943715300488499,29.343703550293068,1.5
Sundarbans,2015,9,2.2033573773175523,19.512313055063835,0.9998795203387181,0.5876325932450065,29.423225595788715,1.5
Sundarbans,2015,10,2.5485970527342223,19.512313055063835,0.9998795203387181,0.684657848669677,28.254983723911284,1.4890887546517213
Sundarbans,2015,11,2.5614224606129437,19.512313055063835,0.9998795203387181,0.890516654672585,25.16054982319955,1.1506629460580682
Sundarbans,2015,12,2.7019632043868667,19.512313055063835,0.9998795203387181,0.9918364536217749,21.648012928170523,1.0898110578708762
Sundarbans,2016,1,2.5298608561896656,20.074741399713993,0.9999945424182574,0.9912235531162353,20.074741399713993,1.0209098299554973
Sundarbans,2016,2,2.5841675796083132,20.074741399713993,0.9999945424182574,0.9163918834002321,25.162046790349745,1.1279825684798563
Sundarbans,2016,3,1.8041028070430791,20.074741399713993,0.9999945424182574,0.7144937692020913,28.440816304099773,1.0100223466588538
Sundarbans,2016,4,1.090729354634357,20.074741399713993,0.9999945424182574,0.5308692633626719,30.65380181204146,0.8218514075795164
Sundarbans,2016,5,1.944365338446568,20.074741399713993,0.9999945424182574,0.5521193270380231,30.403568947053063,1.4087180248523175
Sundarbans,2016,6,2.1898299948595694,20.074741399713993,0.9999945424182574,0.5839578841026958,30.0289746302571,1.5
Sundarbans,2016,7,2.576490298584726,20.074741399713993,0.9999945424182574,0.6870678610169149,28.787430434805362,1.5
Sundarbans,2016,8,2.5363953676379465,20.074741399713993,0.9999945424182574,0.6763758234264426,28.920047162522817,1.5
Sundarbans,2016,9,2.4889723973379567,20.074741399713993,0.9999945424182574,0.6637296314049211,29.0753502944387,1.5
Sundarbans,2016,10,2.6917460978922367,20.074741399713993,0.9999945424182574,0.7178029076459492,28.398053267669955,1.5
Sundarbans,2016,11,3.280321795142815,20.074741399713993,0.9999945424182574,0.9506363572712424,24.23866612285553,1.3802612426417282
Sundarbans,2016,12,2.7642149098666557,20.074741399713993,0.9999945424182574,0.9965466401325964,21.05282848762845,1.109523557354604
Sundarbans,2017,1,2.561021602166891,19.75724416061462,0.9999675210742832,0.9912235531162353,19.75724416061462,1.0335124530316844
Sundarbans,2017,2,2.264812170783151,19.75724416061462,0.9999675210742832,0.9498784106548821,23.9458599647501,0.953753788919499
Sundarbans,2017,3,2.606987071286643,19.75724416061462,0.9999675210742832,0.8479605304370437,26.1900208971545,1.229825635973815
Sundarbans,2017,4,2.08969126148428,19.75724416061462,0.9999675210742832,0.6464464201958573,28.967627610958257,1.293191228088033
Sundarbans,2017,5,1.4865262756624262,19.75724416061462,0.9999675210742832,0.5120115974888371,30.559104121776436,1.1614247929133397
Sundarbans,2017,6,2.1678792821161132,19.75724416061462,0.9999675210742832,0.5781197621179527,29.78020989212196,1.5
Sundarbans,2017,7,2.508960913034972,19.75724416061462,0.9999675210742832,0.6690778279185855,28.692259952871723,1.5
Sundarbans,2017,8,2.344187210741352,19.75724416061462,0.9999675210742832,0.6251367517585721,29.223515496347968,1.5
Sundarbans,2017,9,2.2636703626645382,19.75724416061462,0.9999675210742832,0.6036648852532127,29.478710624024966,1.5
