name,year,month,ndvi
Sundarbans,2014,1,0.6366369602758724
Sundarbans,2014,2,0.6268797764583814
Sundarbans,2014,3,0.5916897653259782
Sundarbans,2014,4,0.5329389496961929
Sundarbans,2014,5,0.38070560257311314
Sundarbans,2014,6,0.1689731079132418
Sundarbans,2014,7,0.27519305080535317
Sundarbans,2014,8,0.2949507919314143
Sundarbans,2014,9,0.4493053797203421
Sundarbans,2014,10,0.589934720341574
Sundarbans,2014,11,0.6142497669055833
Sundarbans,2014,12,0.6294430480681336
Sundarbans,2015,1,0.5972057312522211
Sundarbans,2015,2,0.5666307454406209
Sundarbans,2015,3,0.5489992693078303
Sundarbans,2015,4,0.4044291655222575
Sundarbans,2015,5,0.35366005773938036
Sundarbans,2015,6,0.27525459972134614
Sundarbans,2015,7,0.21593166880721354
Sundarbans,2015,8,0.3458357449475821
Sundarbans,2015,9,0.43177124026038327
Sundarbans,2015,10,0.52726486957984
Sundarbans,2015,11,0.6681691959628837
Sundarbans,2015,12,0.560826010671527
Sundarbans,2016,1,0.5818388165746171
Sundarbans,2016,2,0.621448727632358
Sundarbans,2016,3,0.4314067237499626
Sundarbans,2016,4,0.48685863845556687
Sundarbans,2016,5,0.3611487913912418
Sundarbans,2016,6,0.3143535724708012
Sundarbans,2016,7,0.20926493443538333
Sundarbans,2016,8,0.36148702803945765
Sundarbans,2016,9,0.45498094297221703
Sundarbans,2016,10,0.5351237141584272
Sundarbans,2016,11,0.683537039203353
Sundarbans,2016,12,0.6444567035812596
Sundarbans,2017,1,0.6602542334354294
Sundarbans,2017,2,0.6215485835779074
Sundarbans,2017,3,0.4397444890113213
Sundarbans,2017,4,0.35713379596083583
Sundarbans,2017,5,0.360874286976626
Sundarbans,2017,6,0.27504475816351803
Sundarbans,2017,7,0.18274451018952814
Sundarbans,2017,8,0.27541028521955013
Sundarbans,2017,9,0.3771300298485445
Sundarbans,2017,10,0.6213737836382308
Sundarbans,2017,11,0.7078812009970539
Sundarbans,2017,12,0.6684289011203971
Sundarbans,2018,1,0.6604159546229496
Sundarbans,2018,2,0.599658469854072
Sundarbans,2018,3,0.5686230835271552
Sundarbans,2018,4,0.5058606009504409
Sundarbans,2018,5,0.3030873574701373
Sundarbans,2018,6,0.25591866698716303
Sundarbans,2018,7,0.21318745909883838
Sundarbans,2018,8,0.35709596826243645
Sundarbans,2018,9,0.45141552029734977
Sundarbans,2018,10,0.5800846103715543
Sundarbans,2018,11,0.6438168312810304
Sundarbans,2018,12,0.6442666546534321
Sundarbans,2019,1,0.6058956068540514
Sundarbans,2019,2,0.6130804254533481
Sundarbans,2019,3,0.540941975997407
Sundarbans,2019,4,0.5250594159068706
Sundarbans,2019,5,0.28681019892333826
Sundarbans,2019,6,0.38093771040439606
Sundarbans,2019,7,0.27517340195795403
Sundarbans,2019,8,0.23248680799871402
Sundarbans,2019,9,0.3921117919625108
Sundarbans,2019,10,0.6284210982520515
Sundarbans,2019,11,0.6133633125614049
Sundarbans,2019,12,0.6679735229676345
Everglades,2014,1,0.6127257275662293
Everglades,2014,2,0.6444174472512936
Everglades,2014,3,0.5899303139824617
Everglades,2014,4,0.5578057433589952
Everglades,2014,5,0.457002039909211
Everglades,2014,6,0.4962757156416178
Everglades,2014,7,0.5115315655166925
Everglades,2014,8,0.5191875961142514
Everglades,2014,9,0.5512958818124439
Everglades,2014,10,0.6294494266806531
Everglades,2014,11,0.659767219369942
Everglades,2014,12,0.6051984346077706
Everglades,2015,1,0.6446787218252817
Everglades,2015,2,0.5979317179921765
Everglades,2015,3,0.5893423223546049
Everglades,2015,4,0.43189830999625356
Everglades,2015,5,0.5350370441253894
Everglades,2015,6,0.4727008337660736
Everglades,2015,7,0.48253777788745034
Everglades,2015,8,0.5274724078082205
Everglades,2015,9,0.5450891427999021
Everglades,2015,10,0.5745687083086124
Everglades,2015,11,0.6764135308923678
Everglades,2015,12,0.5423649037842635
Everglades,2016,1,0.6137162126104874
Everglades,2016,2,0.6518935213786446
Everglades,2016,3,0.487703768583355
Everglades,2016,4,0.5515215766605809
Everglades,2016,5,0.51169598962983
Everglades,2016,6,0.517697162926197
Everglades,2016,7,0.4864561302321298
Everglades,2016,8,0.5187579401396134
Everglades,2016,9,0.6134877850612005
Everglades,2016,10,0.698853731185505
Everglades,2016,11,0.6752402397725626
Everglades,2016,12,0.6216506499979231
Everglades,2017,1,0.6757648340714512
Everglades,2017,2,0.6447480619959463
Everglades,2017,3,0.5738323769080792
Everglades,2017,4,0.4419079136073699
Everglades,2017,5,0.5588182943620711
Everglades,2017,6,0.4672161760887874
Everglades,2017,7,0.48015168058792895
Everglades,2017,8,0.5105847045015625
Everglades,2017,9,0.5271486446082673
Everglades,2017,10,0.5583698380888262
Everglades,2017,11,0.6677856261032462
Everglades,2017,12,0.6523426920175552
Everglades,2018,1,0.6133408887045724
Everglades,2018,2,0.4874842642138861
Everglades,2018,3,0.5275648721799044
Everglades,2018,4,0.511412244560421
Everglades,2018,5,0.28745643112887725
Everglades,2018,6,0.4570724526238361
Everglades,2018,7,0.4729499694723034
Everglades,2018,8,0.4959084606806735
Everglades,2018,9,0.5582039105192566
Everglades,2018,10,0.5658040944452791
Everglades,2018,11,0.6365662916929147
Everglades,2018,12,0.6673910200595856
Everglades,2019,1,0.6677559241445975
Everglades,2019,2,0.6606433775999038
Everglades,2019,3,0.5273877492657414
Everglades,2019,4,0.6133748339742332
Everglades,2019,5,0.5197613478143234
Everglades,2019,6,0.49530534279629906
Everglades,2019,7,0.47986297687537705
Everglades,2019,8,0.48875887770401805
Everglades,2019,9,0.5880758542037132
Everglades,2019,10,0.5822116237169183
Everglades,2019,11,0.6604160894884072
Everglades,2019,12,0.6679347008405492
Cairns,2014,1,0.5288923079511864
Cairns,2014,2,0.37106971065711736
Cairns,2014,3,0.5272762757330158
Cairns,2014,4,0.5581966273059686
Cairns,2014,5,0.6450671062161395
Cairns,2014,6,0.621259512552401
Cairns,2014,7,0.7543515640756359
Cairns,2014,8,0.7454066574874398
Cairns,2014,9,0.676749510534669
Cairns,2014,10,0.6361264913405318
Cairns,2014,11,0.5988600652874292
Cairns,2014,12,0.6027601901037978
Cairns,2015,1,0.5897009592307242
Cairns,2015,2,0.6299267723480005
Cairns,2015,3,0.6524950688642241
Cairns,2015,4,0.6780615521398741
Cairns,2015,5,0.7146177204287782
Cairns,2015,6,0.6057190107567059
Cairns,2015,7,0.7302279088645293
Cairns,2015,8,0.7140837571582755
Cairns,2015,9,0.7069228778749678
Cairns,2015,10,0.6128370480717352
Cairns,2015,11,0.6602353102895571
Cairns,2015,12,0.49588674463742227
Cairns,2016,1,0.6365237534046173
Cairns,2016,2,0.6448150560259819
Cairns,2016,3,0.6519977754428387
Cairns,2016,4,0.589461833097649
Cairns,2016,5,0.6672728382624112
Cairns,2016,6,0.6993296039782889
Cairns,2016,7,0.6368532718818857
Cairns,2016,8,0.6603417375704626
Cairns,2016,9,0.5819972484747379
Cairns,2016,10,0.699647081130799
Cairns,2016,11,0.6686077761571829
Cairns,2016,12,0.5976870141141798
Cairns,2017,1,0.6128324331990276
Cairns,2017,2,0.48004721176056636
Cairns,2017,3,0.6214489877223969
Cairns,2017,4,0.6290943457020653
Cairns,2017,5,0.754027685694811
Cairns,2017,6,0.6364981123740144
Cairns,2017,7,0.6987052953046834
Cairns,2017,8,0.7462504314446236
Cairns,2017,9,0.5972797274589539
Cairns,2017,10,0.5353538207709789
Cairns,2017,11,0.5734169585334575
Cairns,2017,12,0.6752331783923167
Cairns,2018,1,0.6212132243446379
Cairns,2018,2,0.6445425854967146
Cairns,2018,3,0.47248177101307803
Cairns,2018,4,0.6995427078670926
Cairns,2018,5,0.7233629806820128
Cairns,2018,6,0.6839912819233464
